Aquisition time: 632 seconds
4.650,10.000,0.000
4.670,17.000,2.000
4.690,13.000,0.000
4.710,12.000,1.000
4.730,11.000,1.000
4.750,10.000,7.000
4.770,7.000,4.000
4.790,10.000,2.000
4.810,13.000,3.000
4.830,14.000,5.000
4.850,15.000,1.000
4.870,13.000,0.000
4.890,15.000,2.000
4.910,11.000,0.000
4.930,13.000,4.000
4.950,12.000,1.000
4.970,9.000,1.000
4.990,12.000,0.000
5.010,25.000,2.000
5.030,13.000,0.000
5.050,9.000,2.000
5.070,21.000,0.000
5.090,13.000,4.000
5.110,15.000,4.000
5.130,16.000,1.000
5.150,11.000,3.000
5.170,12.000,4.000
5.190,9.000,0.000
5.210,11.000,0.000
5.230,10.000,0.000
5.250,10.000,3.000
5.270,14.000,3.000
5.290,11.000,3.000
5.310,10.000,3.000
5.330,7.000,4.000
5.350,9.000,4.000
5.370,11.000,4.000
5.390,13.000,3.000
5.410,10.000,0.000
5.430,18.000,3.000
5.450,10.000,3.000
5.470,13.000,2.000
5.490,12.000,0.000
5.510,12.000,2.000
5.530,10.000,1.000
5.550,17.000,4.000
5.570,9.000,1.000
5.590,18.000,1.000
5.610,12.000,4.000
5.630,19.000,1.000
5.650,15.000,2.000
5.670,15.000,1.000
5.690,10.000,1.000
5.710,14.000,4.000
5.730,16.000,3.000
5.750,15.000,5.000
5.770,7.000,3.000
5.790,15.000,1.000
5.810,10.000,1.000
5.830,17.000,2.000
5.850,12.000,1.000
5.870,16.000,4.000
5.890,22.000,5.000
5.910,18.000,3.000
5.930,16.000,1.000
5.950,18.000,2.000
5.970,16.000,2.000
5.990,13.000,4.000
6.010,17.000,2.000
6.030,13.000,1.000
6.050,16.000,0.000
6.070,13.000,4.000
6.090,17.000,1.000
6.110,11.000,1.000
6.130,12.000,0.000
6.150,10.000,4.000
6.170,18.000,2.000
6.190,13.000,1.000
6.210,13.000,2.000
6.230,22.000,2.000
6.250,11.000,0.000
6.270,12.000,0.000
6.290,14.000,0.000
6.310,12.000,0.000
6.330,12.000,0.000
6.350,13.000,0.000
6.370,15.000,0.000
6.390,7.000,2.000
6.410,17.000,0.000
6.430,10.000,1.000
6.450,13.000,1.000
6.470,9.000,2.000
6.490,27.000,0.000
6.510,8.000,0.000
6.530,17.000,0.000
6.550,17.000,2.000
6.570,17.000,3.000
6.590,11.000,2.000
6.610,9.000,1.000
6.630,12.000,0.000
6.650,11.000,0.000
6.670,11.000,0.000
6.690,19.000,1.000
6.710,12.000,1.000
6.730,15.000,2.000
6.750,9.000,0.000
6.770,13.000,0.000
6.790,14.000,0.000
6.810,18.000,0.000
6.830,10.000,0.000
6.850,15.000,0.000
6.870,14.000,0.000
6.890,15.000,0.000
6.910,13.000,0.000
6.930,26.000,0.000
6.950,16.000,0.000
6.970,21.000,0.000
6.990,13.000,0.000
7.010,19.000,0.000
7.030,17.000,0.000
7.050,21.000,3.000
7.070,19.000,4.000
7.090,19.000,3.000
7.110,17.000,1.000
7.130,20.000,2.000
7.150,18.000,2.000
7.170,11.000,4.000
7.190,16.000,0.000
7.210,13.000,0.000
7.230,16.000,1.000
7.250,13.000,1.000
7.270,20.000,4.000
7.290,21.000,2.000
7.310,17.000,6.000
7.330,20.000,4.000
7.350,18.000,1.000
7.370,15.000,1.000
7.390,16.000,2.000
7.410,11.000,0.000
7.430,18.000,3.000
7.450,16.000,6.000
7.470,20.000,1.000
7.490,13.000,1.000
7.510,17.000,3.000
7.530,9.000,1.000
7.550,3.000,1.000
7.570,12.000,1.000
7.590,20.000,1.000
7.610,16.000,3.000
7.630,22.000,4.000
7.650,13.000,0.000
7.670,10.000,3.000
7.690,13.000,1.000
7.710,13.000,0.000
7.730,11.000,0.000
7.750,11.000,0.000
7.770,7.000,0.000
7.790,8.000,0.000
7.810,10.000,0.000
7.830,6.000,0.000
7.850,10.000,0.000
7.870,7.000,0.000
7.890,8.000,0.000
7.910,5.000,0.000
7.930,6.000,0.000
7.950,5.000,0.000
7.970,4.000,0.000
7.990,10.000,0.000
8.010,4.000,0.000
8.030,9.000,0.000
8.050,6.000,0.000
8.070,5.000,0.000
8.090,3.000,0.000
8.110,10.000,0.000
8.130,6.000,0.000
8.150,7.000,0.000
8.170,8.000,0.000
8.190,7.000,0.000
8.210,3.000,0.000
8.230,7.000,0.000
8.250,4.000,0.000
8.270,6.000,0.000
8.290,6.000,0.000
8.310,4.000,0.000
8.330,4.000,1.000
8.350,7.000,0.000
8.370,3.000,0.000
8.390,2.000,0.000
8.410,5.000,0.000
8.430,8.000,0.000
8.450,3.000,0.000
8.470,0.000,0.000
8.490,6.000,0.000
8.510,4.000,0.000
8.530,2.000,0.000
8.550,3.000,0.000
8.570,2.000,0.000
8.590,2.000,0.000
8.610,0.000,0.000
8.630,3.000,0.000
8.650,2.000,0.000
8.670,1.000,0.000
8.690,5.000,0.000
8.710,4.000,0.000
8.730,1.000,0.000
8.750,2.000,0.000
8.770,0.000,0.000
8.790,3.000,0.000
8.810,2.000,0.000
8.830,1.000,0.000
8.850,2.000,0.000
8.870,3.000,0.000
8.890,2.000,0.000
8.910,1.000,0.000
8.930,5.000,0.000
8.950,7.000,0.000
8.970,2.000,0.000
8.990,6.000,0.000
9.010,4.000,0.000
9.030,6.000,0.000
9.050,9.000,0.000
9.070,8.000,0.000
9.090,8.000,0.000
9.110,12.000,0.000
9.130,17.000,0.000
9.150,16.000,0.000
9.170,18.000,0.000
9.190,19.000,0.000
9.210,25.000,0.000
9.230,10.000,0.000
9.250,35.000,0.000
9.270,21.000,0.000
9.290,40.000,0.000
9.310,31.000,0.000
9.330,34.000,0.000
9.350,40.000,0.000
9.370,39.000,0.000
9.390,47.000,0.000
9.410,31.000,0.000
9.430,44.000,0.000
9.450,55.000,0.000
9.470,51.000,0.000
9.490,64.000,0.000
9.510,56.000,0.000
9.530,52.000,0.000
9.550,54.000,0.000
9.570,47.000,0.000
9.590,47.000,0.000
9.610,45.000,0.000
9.630,42.000,0.000
9.650,33.000,0.000
9.670,45.000,0.000
9.690,45.000,0.000
9.710,39.000,0.000
9.730,34.000,0.000
9.750,36.000,0.000
9.770,37.000,0.000
9.790,26.000,0.000
9.810,38.000,0.000
9.830,17.000,0.000
9.850,20.000,0.000
9.870,24.000,0.000
9.890,19.000,0.000
9.910,18.000,0.000
9.930,14.000,0.000
9.950,12.000,0.000
9.970,12.000,0.000
9.990,0.000,0.000
